2020-03-27 17:25:33.802566: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2020-03-27 17:25:33.810999: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2400040000 Hz
2020-03-27 17:25:33.813822: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x634a1c0 executing computations on platform Host. Devices:
2020-03-27 17:25:33.813850: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
fail to load model...
-1193.110089039582 -12.425842 282.8842 0.0059236735
-1190.6946808771938 -12.151166 278.44485 0.0058814324
-1189.3250551928736 -11.848608 270.39224 0.005861224
-1191.6511719078424 -11.694632 266.36777 0.0058539785
-1189.7701673279355 -11.463589 261.25333 0.0058673257
-1189.6321552218972 -11.273674 256.77008 0.005889124
-1189.335434185419 -11.072013 252.31303 0.005855137
-1186.54128370287 -10.798405 246.4257 0.005875544
-1186.7823290243807 -10.607713 242.01886 0.0058833873
-1186.600194412433 -10.429486 238.15877 0.0058617354
save 성공!
-1187.8640644355658 -10.309429 235.10847 0.0058037327
-1186.5526303562865 -10.080182 230.13335 0.0058059674
-1185.6621508308197 -9.86159 224.41496 0.005811426
-1185.420717482757 -9.684392 220.10287 0.0057819504
-1187.4664619275736 -9.555977 216.48352 0.0057733147
-1186.4558195381364 -9.381404 212.82944 0.0057924693
-1186.5138443005064 -9.2648735 210.0578 0.005742818
-1190.1765083455407 -9.210394 208.24 0.0057716384
-1191.4414913395244 -9.077885 204.57379 0.005810209
-1189.9001255057756 -8.911749 201.50937 0.005784079
save 성공!
-1189.1395085386043 -8.762819 198.48969 0.0057847244
-1191.1085855194315 -8.671314 196.22508 0.0057529164
-1191.4381382848082 -8.534026 193.40651 0.005723384
-1193.7295343931928 -8.448121 191.39598 0.005736215
-1192.0382748933064 -8.238877 186.96828 0.005730136
-1193.3385833773516 -8.132712 184.88635 0.0057296664
-1193.533140972306 -7.995315 181.87355 0.005743401
-1192.0254646187607 -7.8042173 178.2818 0.005742963
-1192.8809072612257 -7.6727757 175.60675 0.0057133315
-1193.693191057886 -7.540883 172.77597 0.00569071
save 성공!
-1191.108596369669 -7.351074 168.6912 0.00565518
-1191.3298542569394 -7.252358 166.13771 0.0056103524
-1191.2523030734724 -7.1340694 164.05917 0.0056269513
-1192.4309349460439 -7.0451074 162.49744 0.005588479
-1192.6979011866524 -6.9395127 160.11192 0.005587769
-1193.1092964562251 -6.8180614 157.4612 0.005592021
-1193.2082055073777 -6.7344236 156.24403 0.0056003835
-1193.4256212613482 -6.6345005 154.45166 0.0055490644
-1191.3489925302576 -6.456825 150.93138 0.0055275937
-1193.7022943894076 -6.3725543 149.06471 0.0055050766
save 성공!
-1190.8642359078797 -6.232389 146.73537 0.005539831
-1190.0017906692099 -6.095697 144.48721 0.005583224
-1189.4933098906292 -6.014529 142.11365 0.005600235
-1191.2351420652424 -5.9363203 140.25009 0.0055606808
-1192.4471155867818 -5.918638 139.18057 0.005526998
-1194.2908803598937 -5.8884273 138.21548 0.0054734796
-1194.9842920308806 -5.771299 136.56432 0.005471487
-1197.060357691073 -5.717725 135.2205 0.005463847
-1197.8977845855375 -5.6174626 133.13667 0.0054874904
-1199.1173532708551 -5.5741634 131.80174 0.0054048677
save 성공!
-1199.4906705986348 -5.515973 130.26349 0.0054231924
-1199.093917190456 -5.422392 128.80457 0.0053712144
-1199.5915724303936 -5.3102345 126.9526 0.005430892
-1199.3111756161968 -5.2145653 124.78153 0.005423397
-1197.9451533524266 -5.098176 123.04436 0.00540794
-1196.4893338604886 -4.9817533 120.93531 0.005404272
-1196.6540878036233 -4.8909197 119.54091 0.0054148408
-1199.7768943796516 -4.880102 118.4067 0.0053568063
-1198.638536082983 -4.801971 117.0567 0.0053818915
-1200.9716731796088 -4.70743 115.09187 0.005353268
save 성공!
-1198.0814375817497 -4.593114 113.23207 0.0053763376
-1199.3579348851888 -4.554758 112.2869 0.005357514
-1199.177161018886 -4.4818263 111.133026 0.005402805
-1197.5642640379706 -4.3609734 109.14349 0.005357199
-1196.792764133594 -4.254975 107.75334 0.005339097
-1197.834553168502 -4.223222 106.44605 0.0053448738
-1198.7332026930026 -4.1872387 105.49066 0.0053298892
-1200.4722979731303 -4.128374 103.84563 0.005323078
-1199.3910878707175 -4.049159 102.830154 0.005302654
-1198.9252133232505 -3.970914 101.14768 0.005258712
save 성공!
-1200.5373817735626 -3.9393299 100.00548 0.0053082807
-1200.8117639588309 -3.8916607 98.63867 0.0053315447
-1199.2900548783348 -3.7875369 96.55794 0.005303479
-1201.3750203832783 -3.7795432 95.96024 0.005325913
-1202.1275237756756 -3.731936 94.65528 0.0053065512
-1202.0098561252585 -3.662651 93.44837 0.005294056
-1199.465149755599 -3.5632806 91.981514 0.0052665723
-1198.6998296894242 -3.4938695 90.82211 0.005263939
-1196.096979998848 -3.4065778 89.455475 0.005304754
-1197.4031020449293 -3.3471055 88.37058 0.0053348453
save 성공!
-1198.3022235620786 -3.3238528 87.43669 0.005317008
-1198.3789198515685 -3.2833877 86.67767 0.0053366036
-1201.141783794565 -3.2843468 85.973366 0.0053028576
-1199.9629786520502 -3.2136316 84.59472 0.0052753594
-1197.2398494830477 -3.112698 82.63129 0.0052571823
-1197.6045371640232 -3.038836 81.09385 0.005340302
-1196.6426465776917 -2.9484267 79.37988 0.0053199506
-1200.6555628315073 -2.9494178 78.78439 0.005288446
-1200.0270734841986 -2.8925104 77.35972 0.0052362853
-1200.1699740946042 -2.8678622 76.251945 0.005249316
save 성공!
-1199.078753178409 -2.8348227 75.389915 0.005276173
-1200.0244053766428 -2.8139045 74.578186 0.0052902643
-1201.316547687888 -2.8028762 74.124084 0.0052460446
-1202.4933687133655 -2.8056595 73.46288 0.0052336063
-1204.1907022662667 -2.7991083 72.84549 0.0052447147
-1205.637691824001 -2.7734528 71.64782 0.005224513
-1207.919331397417 -2.7558782 70.90312 0.005175848
-1205.9477182588512 -2.6871274 69.75135 0.005157063
-1206.2190393949 -2.6366105 68.677444 0.005225283
-1207.941073292143 -2.6276693 67.67049 0.005196505
save 성공!
-1206.4906053128161 -2.5730522 66.32485 0.005156857
-1210.5773528794007 -2.5889127 65.75648 0.0051571513
-1209.3095020096553 -2.531828 64.360344 0.005131119
-1207.8093452150626 -2.4508293 63.196255 0.005127767
-1211.9347859479649 -2.4378197 62.933838 0.0051412117
-1213.5799897524985 -2.4100914 62.689995 0.0050903405
-1214.4532043893919 -2.364911 62.084663 0.005124096
-1216.8247529443559 -2.343087 61.93973 0.0050861943
-1215.5147012818813 -2.280974 61.539852 0.0050873156
